,mite_id,substrates,products
334,MITE0000240.reaction3.example1,CCC1C(C)CC2C3C=CC=CC(=O)C4=C(O)C(CCCNC(=O)C=CC=CC3C=CC12)NC4=O,CCC1C(C)CC2C1C=CC1C3C=CCC(=O)NCCCC4NC(=O)C(=C4O)C(=O)C=CC3CC12
335,MITE0000241.reaction1.example1,CC1NC(=O)C(C(C)O)NC(=O)C2CSC(=N2)C(Cc2ccc(O)cc2)NC(=O)C2CSC(=N2)C2CCCN2C1=O,CC(C)=CCOC(C)C1NC(=O)C2CSC(=N2)C(Cc2ccc(O)cc2)NC(=O)C2CSC(=N2)C2CCCN2C(=O)C(C)NC1=O
336,MITE0000242.reaction1.example1,CC1=CCC2OC1(C)OC(C(C)/C=C(C)/C=C/C(O)=C1/C(=O)CNC1=O)C2C,CC(C=CC(O)=C1C(=O)CNC1=O)=CC(C)C1OC2(C)OC(C(O)C=C2C)C1C
337,MITE0000242.reaction2.example1,CC(C=CC(O)=C1C(=O)CNC1=O)=CC(C)C1OC2(C)OC(C(O)C=C2C)C1C,CC(C=CC(O)=C1C(=O)CNC1=O)=CC(C)C1OC2(C)OC(C(=O)C=C2C)C1C
338,MITE0000242.reaction3.example1,CC(C=CC(O)=C1C(=O)CNC1=O)=CC(C)C1OC2(C)OC(C(=O)C=C2C)C1C,CC(C=CC(O)=C1C(=O)CNC1=O)=CC(C)C1OC2(C)OC(C(=O)C3OC32C)C1C
339,MITE0000242.reaction4.example1,CC(C=CC(O)=C1C(=O)CNC1=O)=CC(C)C1OC2(C)OC(C(=O)C3OC32C)C1C,CC(C=CC(O)=C1C(=O)CNC1=O)=CC(C)C1OC2(C)OC(C(=O)C3OC32CO)C1C
340,MITE0000243.reaction1.example1,CC(C=CC(O)=C1C(=O)CNC1=O)=CC(C)C1OC2(C)OC(C(O)C=C2C)C1C,CC(C=CC(O)=C1C(=O)CNC1=O)=CC(C)C1OC2(C)OC(C(=O)C=C2C)C1C
341,MITE0000244.reaction1.example1,O=C1N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N2CCC[C@@H]12,C=CC(C)(C)c1[nH]c2ccccc2c1C[C@@H]1NC(=O)[C@@H]2CCCN2C1=O
342,MITE0000245.reaction1.example1,C=CC(C)(C)c1[nH]c2ccccc2c1C[C@@H]1NC(=O)[C@@H]2CCCN2C1=O,C=CC(C)(C)c1[nH]c2cc(O)ccc2c1C[C@@H]1NC(=O)[C@@H]2CCCN2C1=O
343,MITE0000246.reaction1.example1,C=CC(C)(C)c1[nH]c2cc(O)ccc2c1C[C@@H]1NC(=O)[C@@H]2CCCN2C1=O,C=CC(C)(C)c1[nH]c2c(CC=C(C)C)c(O)ccc2c1C[C@@H]1NC(=O)[C@@H]2CCCN2C1=O
